Symbol,Date,Open,Close,Shortname,Sector,Weight,PcChangeDay
MMM,2020-03-20,138.07000732421875,124.88999938964844,3M Company,Industrials,0.0022031405163058,-9.55
AOS,2020-03-20,37.130001068115234,34.75,A.O. Smith Corporation,Industrials,0.0002604296528755,-6.41
ABT,2020-03-20,74.05000305175781,68.0,Abbott Laboratories,Healthcare,0.0056386309777139,-8.17
ABBV,2020-03-20,73.0,68.81999969482422,AbbVie Inc.,Healthcare,0.008011123806549,-5.73
ABMD,2020-03-20,142.1300048828125,130.50999450683594,"ABIOMED, Inc.",Healthcare,0.0003476684324764,-8.18
ACN,2020-03-20,157.52999877929688,149.94000244140625,Accenture plc,Technology,0.0051516136097892,-4.82
ATVI,2020-03-20,55.25,52.04999923706055,"Activision Blizzard, Inc",Communication Services,0.00177952077076,-5.79
ADM,2020-03-20,33.88999938964844,30.61000061035156,Archer-Daniels-Midland Company,Consumer Defensive,0.0012189518715296,-9.68
ADBE,2020-03-20,312.9200134277344,295.3399963378906,Adobe Inc.,Technology,0.0052260793436716,-5.62
ADP,2020-03-20,118.91999816894533,112.05999755859376,"Automatic Data Processing, Inc.",Industrials,0.0026370405952756,-5.77
AAP,2020-03-20,86.48999786376953,75.02999877929688,Advance Auto Parts Inc.,Consumer Cyclical,0.0003314909687096,-13.25
AES,2020-03-20,11.210000038146973,11.869999885559082,The AES Corporation,Utilities,0.0004184310125831,5.89
AFL,2020-03-20,27.31999969482422,26.729999542236328,AFLAC Incorporated,Financial Services,0.0010676724158523,-2.16
A,2020-03-20,65.98999786376953,66.45999908447266,"Agilent Technologies, Inc.",Healthcare,0.0010643864750964,0.71
APD,2020-03-20,190.97000122070312,189.1499938964844,"Air Products and Chemicals, Inc",Basic Materials,0.0015294648081263,-0.95
AKAM,2020-03-20,90.0199966430664,82.37000274658203,"Akamai Technologies, Inc.",Technology,0.0004258124128034,-8.5
ALK,2020-03-20,25.709999084472656,23.559999465942383,"Alaska Air Group, Inc.",Industrials,0.0001567247980928,-8.36
ALB,2020-03-20,62.68000030517578,53.45000076293945,Albemarle Corporation,Basic Materials,0.0006819241758315,-14.73
ARE,2020-03-20,133.5800018310547,123.30999755859376,Alexandria Real Estate Equities,Real Estate,0.0006950488777437,-7.69
ALGN,2020-03-20,144.9499969482422,144.82000732421875,"Align Technology, Inc.",Healthcare,0.0005834383356016,-0.09
ALLE,2020-03-20,96.29000091552734,82.83999633789062,Allegion plc,Industrials,0.0002530237411619,-13.97
LNT,2020-03-20,45.060001373291016,40.70000076293945,Alliant Energy Corporation,Utilities,0.0004304459985046,-9.68
ALL,2020-03-20,76.36000061035156,73.87000274658203,Allstate Corporation (The),Financial Services,0.0010913826116675,-3.26
GOOGL,2020-03-20,1130.9000244140625,1068.2099609375,Alphabet Inc.,Communication Services,0.0450116342146792,-5.54
GOOG,2020-03-20,1135.719970703125,1072.3199462890625,Alphabet Inc.,Communication Services,0.04533356993343,-5.58
MO,2020-03-20,36.15999984741211,34.279998779296875,"Altria Group, Inc.",Consumer Defensive,0.0023111267677376,-5.2
AMZN,2020-03-20,96.31549835205078,92.30449676513672,"Amazon.com, Inc.",Consumer Cyclical,0.0016470652893461,-4.16
AMCR,2020-03-20,7.369999885559082,7.300000190734863,Amcor plc,Consumer Cyclical,0.0005680444479441,-0.95
AMD,2020-03-20,41.5099983215332,39.61000061035156,"Advanced Micro Devices, Inc.",Technology,0.0036795233563868,-4.58
AEE,2020-03-20,71.5,62.93000030517578,Ameren Corporation,Utilities,0.0006704049310554,-11.99
AAL,2020-03-20,10.649999618530272,10.380000114440918,"American Airlines Group, Inc.",Industrials,0.0002843829844345,-2.54
AEP,2020-03-20,80.94999694824219,71.44999694824219,American Electric Power Company,Utilities,0.0013929352424881,-11.74
AXP,2020-03-20,78.9800033569336,74.12000274658203,American Express Company,Financial Services,0.0032055576735286,-6.15
AIG,2020-03-20,20.809999465942383,19.229999542236328,"American International Group, I",Financial Services,0.0012621145102059,-7.59
AMT,2020-03-20,207.0,195.38999938964844,American Tower Corporation (REI,Real Estate,0.0034598258373225,-5.61
AWK,2020-03-20,115.12000274658205,100.69000244140624,"American Water Works Company, I",Utilities,0.0007990817450249,-12.53
